fix	com.google.javascript.jscomp.CheckSideEffects	101	INS	n
buggy	com.google.javascript.jscomp.CheckSideEffects	101	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	101	DEL	Token.COMMA
buggy	com.google.javascript.jscomp.CheckSideEffects	102	DEL	gramps
buggy	com.google.javascript.jscomp.CheckSideEffects	102	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	103	DEL	gramps
buggy	com.google.javascript.jscomp.CheckSideEffects	103	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	104	DEL	n
buggy	com.google.javascript.jscomp.CheckSideEffects	104	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	104	DEL	"eval"
buggy	com.google.javascript.jscomp.CheckSideEffects	111	DEL	n
buggy	com.google.javascript.jscomp.CheckSideEffects	111	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	112	DEL	an
buggy	com.google.javascript.jscomp.CheckSideEffects	112	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	113	DEL	ancestorType
buggy	com.google.javascript.jscomp.CheckSideEffects	113	DEL	an
buggy	com.google.javascript.jscomp.CheckSideEffects	114	DEL	ancestorType
buggy	com.google.javascript.jscomp.CheckSideEffects	114	DEL	Token.COMMA
buggy	com.google.javascript.jscomp.CheckSideEffects	116	DEL	ancestorType
buggy	com.google.javascript.jscomp.CheckSideEffects	116	DEL	Token.EXPR_RESULT
buggy	com.google.javascript.jscomp.CheckSideEffects	116	DEL	Token.BLOCK
buggy	com.google.javascript.jscomp.CheckSideEffects	122	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	122	DEL	Token.EXPR_RESULT
buggy	com.google.javascript.jscomp.CheckSideEffects	122	DEL	Token.BLOCK
buggy	com.google.javascript.jscomp.CheckSideEffects	123	DEL	parent
buggy	com.google.javascript.jscomp.CheckSideEffects	123	DEL	Token.FOR
buggy	com.google.javascript.jscomp.CheckSideEffects	123	DEL	n
buggy	com.google.javascript.jscomp.CheckSideEffects	124	DEL	n
buggy	com.google.javascript.jscomp.CheckSideEffects	124	DEL	parent
