org/apache/commons/math/ode/AbstractIntegrator	280	280	this	Lorg/apache/commons/math/ode/AbstractIntegrator;	true	0	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	buggy
org/apache/commons/math/ode/AbstractIntegrator	333	291	occuringEvents	Ljava/util/SortedSet;	false	11	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	true	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	remaining	Lorg/apache/commons/math/ode/events/EventState;	true	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	291	occuringEvents	Ljava/util/SortedSet;	false	11	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	true	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	remaining	Lorg/apache/commons/math/ode/events/EventState;	true	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	291	occuringEvents	Ljava/util/SortedSet;	false	11	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	true	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	333	333	remaining	Lorg/apache/commons/math/ode/events/EventState;	true	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	291	occuringEvents	Ljava/util/SortedSet;	false	11	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	true	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	i$	Ljava/util/Iterator;	false	17	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	345	345	remaining	Lorg/apache/commons/math/ode/events/EventState;	true	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	334	333	remaining	Lorg/apache/commons/math/ode/events/EventState;	false	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	334	315	eventT	D	false	14	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	346	345	remaining	Lorg/apache/commons/math/ode/events/EventState;	false	18	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
org/apache/commons/math/ode/AbstractIntegrator	346	315	eventT	D	false	14	false	acceptStep	(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	fixed
