fix	org.apache.commons.math3.optim.BaseOptimizer	51	INS	Integer.MAX_VALUE
fix	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	216	INS	incrementIterationCount
buggy	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	223	UPD	checker
buggy	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	223	MOV	checker
fix	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	276	INS	getIterations
buggy	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	214	DEL	iter
buggy	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	217	DEL	iter
buggy	org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer	277	DEL	iter
fix	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer	388	INS	incrementIterationCount
fix	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer	192	INS	incrementIterationCount
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer	227	UPD	checker
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer	227	MOV	checker
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer	191	DEL	iter
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer	193	DEL	iter
fix	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer	175	INS	incrementIterationCount
fix	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer	158	INS	getIterations
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer	158	DEL	iteration
buggy	org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer	175	DEL	iteration
fix	org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer	107	INS	incrementIterationCount
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer	160	UPD	checker
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer	160	MOV	checker
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer	106	DEL	iter
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer	108	DEL	iter
fix	org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer	324	INS	incrementIterationCount
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer	489	UPD	checker
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer	489	MOV	checker
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer	322	DEL	iter
buggy	org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer	325	DEL	iter
