org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues	returnValueFor	type	83	0.20176376269374663	oracle
org/mockito/internal/util/Primitives	isPrimitiveOrWrapper	this	42	0.18671548117154813	 
org/mockito/internal/util/Primitives	isPrimitiveOrWrapper	type	42	0.18671548117154813	 
org/mockito/internal/configuration/injection/scanner/MockScanner	preparedMock	instance	72	0.18066355624676	 
org/mockito/internal/util/MockUtil	isSpy	mock	70	0.1743768923628201	 
org/mockito/internal/configuration/injection/scanner/MockScanner	isMockOrSpy	this	86	0.16380182002022248	 
org/mockito/internal/configuration/injection/scanner/MockScanner	isMockOrSpy	instance	86	0.16380182002022248	 
org/mockito/internal/util/MockUtil	isMockitoMock	mock	74	0.1432941517022101	 
org/mockito/internal/util/MockUtil	isMock	mock	66	0.1078703703703704	 
org/mockito/internal/configuration/DefaultAnnotationEngine	process	alreadyAssigned	64	0.10201742320036677	 
org/mockito/internal/configuration/injection/scanner/MockScanner	preparedMock	field	70	0.09011235955056174	 
org/mockito/internal/configuration/injection/scanner/MockScanner	isAnnotatedByMockOrSpy	field	80	0.09011235955056174	 
org/mockito/MockitoAnnotations	scanDeprecatedWay	annotationEngine	115	0.08852532496638277	 
org/mockito/MockitoAnnotations	scanDeprecatedWay	testClass	115	0.08852532496638277	 
org/mockito/MockitoAnnotations	processAnnotationDeprecatedWay	alreadyAssigned	121	0.08852532496638277	 
org/mockito/MockitoAnnotations	processAnnotationDeprecatedWay	field	122	0.08852532496638277	 
org/mockito/internal/util/reflection/FieldReader	<init>	target	18	0.08407473309608537	 
org/mockito/internal/util/reflection/FieldReader	<init>	field	19	0.08407473309608537	 
org/mockito/internal/util/reflection/FieldReader	read	this	29	0.08407473309608537	 
org/mockito/MockitoAnnotations	initMocks	annotationEngine	94	0.08097345132743361	 
org/mockito/MockitoAnnotations	initMocks	clazz	95	0.08097345132743361	 
org/mockito/internal/util/reflection/AccessibilityChanger	enableAccess	accessibleObject	29	0.07765068191816982	 
org/mockito/internal/util/reflection/AccessibilityChanger	enableAccess	this	29	0.07765068191816982	 
org/mockito/internal/configuration/injection/scanner/MockScanner	scan	fieldReader	59	0.05872340425531919	 
org/mockito/internal/configuration/injection/scanner/MockScanner	scan	mockInstance	61	0.05872340425531919	 
org/mockito/internal/progress/ArgumentMatcherStorageImpl	reset	this	123	0.05330804888327012	 
org/mockito/internal/progress/MockingProgressImpl	reset	this	103	0.05330804888327012	 
org/mockito/internal/configuration/plugins/PluginLoader	loadPlugin	defaultPluginClassName	33	0.05284210526315791	 
org/mockito/internal/progress/MockingProgressImpl	resetOngoingStubbing	this	49	0.04983249581239535	 
org/mockito/internal/configuration/SpyAnnotationEngine	process	context	48	0.039441248972884146	 
org/mockito/internal/configuration/SpyAnnotationEngine	process	fields	48	0.039441248972884146	 
org/mockito/internal/configuration/injection/MockInjectionStrategy	thenTry	strategy	42	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/MockScanner	<init>	instance	33	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/MockScanner	<init>	clazz	34	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/MockScanner	addPreparedMocks	mocks	47	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/MockScanner	scan	mocks	56	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/MockScanner	scan	this	57	0.039441248972884146	 
org/mockito/internal/configuration/DefaultAnnotationEngine	process	clazz	62	0.039441248972884146	 
org/mockito/internal/configuration/DefaultAnnotationEngine	process	fields	62	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/InjectMocksScanner	<init>	clazz	30	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/InjectMocksScanner	addTo	mockDependentFields	40	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/InjectMocksScanner	scan	mockDependentFields	49	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/InjectMocksScanner	scan	this	50	0.039441248972884146	 
org/mockito/internal/configuration/injection/scanner/InjectMocksScanner	scan	fields	50	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	process	testInstance	55	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processInjectMocks	clazz	60	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processInjectMocks	classContext	60	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processInjectMocks	testInstance	62	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processIndependentAnnotations	clazz	68	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processIndependentAnnotations	classContext	68	0.039441248972884146	 
org/mockito/internal/configuration/InjectingAnnotationEngine	processIndependentAnnotations	this	71	0.039441248972884146	 
