org/mockito/internal/stubbing/answers/AnswersValidator	validate	answer	16	0.3088386433710174	oracle
org/mockito/internal/creation/jmock/ClassImposterizer	createProxyClass	interfaces	79	0.2723258096172718	 
org/mockito/internal/stubbing/OngoingStubbingImpl	thenAnswer	this	24	0.25455417066155317	 
org/mockito/internal/stubbing/OngoingStubbingImpl	thenAnswer	answer	25	0.25455417066155317	 
org/mockito/internal/verification/RegisteredInvocations	removeLast	this	27	0.24738841405508072	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	answer	37	0.24175306314797362	 
org/mockito/internal/MockitoCore	when	this	54	0.234827264239029	 
org/mockito/Mockito	when	this	1002	0.234827264239029	 
org/mockito/Mockito	when	methodCall	1002	0.234827264239029	 
org/mockito/internal/MockitoCore	stub	this	39	0.23209302325581394	 
org/mockito/internal/MockitoCore	stub	stubbing	39	0.23209302325581394	 
org/mockito/internal/util/MockName	<init>	classToMock	18	0.21545454545454557	 
org/mockito/internal/progress/MockingProgressImpl	pullOngoingStubbing	this	32	0.21093044263775973	 
org/mockito/internal/progress/MockingProgressImpl	pullOngoingStubbing	temp	32	0.21093044263775973	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxyClass	enhancer	68	0.20900900900900898	 
org/mockito/internal/progress/ThreadSafeMockingProgress	stubbingCompleted	invocation	50	0.2008014247551202	 
org/mockito/internal/progress/MockingProgressImpl	stubbingCompleted	this	86	0.1933920704845814	 
org/mockito/internal/progress/MockingProgressImpl	stubbingCompleted	invocation	86	0.1933920704845814	 
org/mockito/internal/debugging/DebuggingInfo	addStubbedInvocation	this	23	0.1933920704845814	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	this	45	0.1933920704845814	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	invocation	45	0.1933920704845814	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	answersValidator	47	0.1933920704845814	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	answer	48	0.1933920704845814	 
org/mockito/internal/stubbing/MockitoStubber	addAnswer	isConsecutive	50	0.1933920704845814	 
org/mockito/Mockito	mock	classToMock	731	0.18434782608695655	 
org/mockito/Mockito	mock	this	731	0.18434782608695655	 
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues	answer	returnType	68	0.18256721595836956	 
org/mockito/internal/progress/MockingProgressImpl	stubbingStarted	this	62	0.1790336496980156	 
org/mockito/internal/util/MockName	toInstanceName	clazz	26	0.1607892527287993	 
org/mockito/internal/util/MockName	toInstanceName	className	26	0.1607892527287993	 
org/mockito/internal/creation/jmock/ClassImposterizer	canImposterise	type	44	0.1319125492658364	 
org/mockito/internal/creation/MethodInterceptorFilter	createMockitoMethodProxy	methodProxy	61	0.12809257781324823	 
org/mockito/internal/exceptions/base/StackTraceFilter	isBad	e	15	0.1264929753502762	 
org/mockito/internal/exceptions/base/StackTraceFilter	isBad	fromMockObject	15	0.1264929753502762	 
org/mockito/internal/exceptions/base/StackTraceFilter	isBad	fromOrgMockito	16	0.1264929753502762	 
org/mockito/internal/exceptions/base/StackTraceFilter	isBad	isRunner	17	0.1264929753502762	 
org/mockito/internal/exceptions/base/StackTraceFilter	isBad	isInternalRunner	18	0.1264929753502762	 
org/mockito/internal/creation/jmock/ClassImposterizer	prepend	rest	117	0.1003051106025934	 
org/mockito/internal/creation/jmock/ClassImposterizer	prepend	all	117	0.1003051106025934	 
org/mockito/internal/creation/jmock/ClassImposterizer	prepend	first	118	0.1003051106025934	 
org/mockito/internal/invocation/Invocation	<init>	mockitoMethod	45	0.09039759939984993	 
org/mockito/internal/invocation/Invocation	<init>	mock	46	0.09039759939984993	 
org/mockito/internal/invocation/Invocation	<init>	realMethod	47	0.09039759939984993	 
org/mockito/internal/invocation/Invocation	<init>	args	48	0.09039759939984993	 
org/mockito/internal/invocation/Invocation	<init>	sequenceNumber	50	0.09039759939984993	 
