org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	this.resetOccurred	buggy
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	y	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	y	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	handler#19	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	eventY	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	eventY	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	i$	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	i$	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	eventT	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	i$	fixed
org.apache.commons.math.ode.AbstractIntegrator	acceptStep(Lorg/apache/commons/math/ode/sampling/AbstractStepInterpolator;[D[DD)D	i$	fixed
