project_id	total_plausibles	total_correct	rank_before	rank_after
Chart	1	3	1	1	1
Chart	20	1	1	1	1
Chart	3	1	1	1	1
Chart	7	3	1	1	1
Closure	115	2	1	1	1
Closure	14	1	1	1	1
Closure	57	4	1	1	1
Closure	62	4	1	1	1
Closure	73	1	1	1	1
Lang	16	2	1	1	1
Lang	27	14	1	2	1
Lang	33	2	1	1	1
Lang	39	22	1	2	1
Lang	41	2	2	1	1
Lang	50	16	2	1	1
Lang	58	2	1	1	1
Lang	60	4	1	1	1
Math	41	2	1	1	1
Math	5	1	1	1	1
Math	50	6	1	3	3
Math	53	1	1	1	1
Math	57	1	1	1	1
Math	59	1	1	1	1
Math	63	1	1	1	1
Math	70	2	1	1	1
Math	71	22	2	3	2
Math	75	1	1	1	1
Math	79	5	1	1	2
Time	7	1	1	1	1
