project	id	total plausibles	total correct	rank_before	rank_after
Chart	1	5	1	1	2
Chart	11	1	1	1	1
Chart	12	3	1	1	1
Chart	14	0	1	-1	-1
Chart	19	0	1	-1	-1
Chart	20	1	1	1	1
Chart	24	1	1	1	1
Chart	26	4	1	1	2
Chart	4	4	1	1	2
Chart	8	1	1	1	1
Chart	9	2	1	2	2
Closure	10	1	1	1	1
Closure	11	15	1	15	12
Closure	115	125	1	9	50
Closure	126	14	1	11	1
Closure	13	1	1	1	1
Closure	18	4	1	1	1
Closure	2	3	1	1	2
Closure	31	4	1	1	1
Closure	38	3	1	1	1
Closure	40	1	1	1	1
Closure	46	2	1	1	1
Closure	62	8	1	1	1
Closure	70	1	1	1	1
Closure	73	1	1	1	1
Lang	10	19	1	2	2
Lang	22	15	1	3	3
Lang	24	0	1	-1	-1
Lang	26	0	1	-1	-1
Lang	33	2	1	1	1
Lang	39	132	1	4	20
Lang	47	0	1	-1	-1
Lang	57	5	1	-1	-1
Lang	59	1	1	1	1
Lang	6	3	1	1	3
Lang	63	113	1	90	22
Lang	7	26	1	24	24
Math	11	3	1	3	3
Math	30	3	1	1	1
Math	33	6	1	2	2
Math	34	0	1	-1	-1
Math	35	0	1	-1	-1
Math	4	0	1	-1	-1
Math	5	6	1	1	1
Math	50	296	1	269	215
Math	57	2	1	1	1
Math	58	0	1	-1	-1
Math	59	4	1	1	1
Math	65	0	1	-1	-1
Math	70	0	1	-1	-1
Math	75	1	1	1	1
Math	77	0	1	-1	-1
Math	79	6	1	1	2
Math	80	58	1	58	38
Math	82	18	1	6	6
Math	85	99	1	14	49
Math	89	1	1	1	1
Math	98	0	1	-1	-1
Mockito	26	1	1	1	1
Mockito	29	3	1	1	1
Mockito	38	3	1	1	1
Time	19	6	1	1	1
Time	26	3	1	1	1
Time	7	2	1	1	2
